mutant,maybe_equivalent,not_equivalent,differential,timeout,killed_by,exec_time,call_points,test_cases,executions
AORB_1,,x,,,evosuite,209.12,9,9,9
AORB_2,,x,,,evosuite,171.47,8,8,8
AORB_3,,x,,,evosuite,175.15,8,8,8
AORB_4,,x,x,,evosuite,10.92,1,1,1
AORB_5,,x,x,,evosuite,8.28,1,1,5
AORB_6,,x,x,,evosuite,9.41,1,1,1
AORB_7,,x,x,,evosuite,12.32,1,1,2
AORB_8,,x,x,,evosuite,9.07,1,1,2
AORB_9,,x,x,,evosuite,14.04,1,1,4
AORB_10,,x,x,,evosuite,18.76,1,1,1
AORB_11,,x,x,,evosuite,11.66,1,1,1
AORB_12,,x,x,,evosuite,7.54,1,1,6
AORB_13,,x,x,,evosuite,14.66,1,1,4
AORB_14,,x,x,,evosuite,14.42,1,1,3
AORB_15,,x,,,evosuite,109.23,1,1,1
AORB_16,,x,,,evosuite,104.47,1,1,1
AORB_17,,x,x,,evosuite,8.94,1,1,13
AORB_18,,x,x,,evosuite,8.01,1,1,32
AORB_19,,x,x,,evosuite,8.11,1,1,15
AORB_20,,x,x,,evosuite,7.69,1,1,3
AORB_21,,x,x,,evosuite,20.16,1,1,3
AORB_22,,x,x,,evosuite,7.43,1,1,1
AORB_23,,x,x,,evosuite,8.9,1,1,1
AORB_24,,x,x,,evosuite,8.91,1,1,2
AORB_25,,x,x,,evosuite,10.28,1,1,1
AORB_26,,x,x,,evosuite,11.68,1,1,1
AORB_27,,x,,,evosuite,108.78,2,2,7
AORB_28,,x,x,,evosuite,8.19,1,1,1
AORS_1,,x,x,,evosuite,8.74,1,1,1
AOIU_2,,x,x,,evosuite,8.52,1,1,1
AOIU_3,,x,x,,evosuite,8.71,1,1,2
AOIU_4,,x,x,,evosuite,11.03,1,1,2
AOIU_5,,x,x,,evosuite,9.14,1,1,6
AOIU_6,,x,x,,evosuite,8.61,1,1,1
AOIU_7,,x,x,,evosuite,8.1,1,1,4
AOIU_8,,x,x,,evosuite,7.58,1,1,13
AOIU_9,,x,x,,evosuite,7.94,1,1,6
AOIU_10,,x,x,,evosuite,7.93,1,1,4
AOIU_11,,x,x,,evosuite,9.33,1,1,1
AOIU_12,,x,x,,evosuite,9.36,1,1,1
AOIU_13,,x,x,,evosuite,8.64,1,1,2
AOIU_14,,x,x,,evosuite,8.07,1,1,1
AOIU_15,,x,x,,evosuite,8.16,1,1,1
AOIU_16,,x,x,,evosuite,7.77,1,1,1
AOIS_3,,x,x,,evosuite,8.59,1,1,1
AOIS_4,,x,x,,evosuite,9.76,1,1,1
AOIS_5,,x,x,,evosuite,8.17,1,1,1
AOIS_6,,x,,,evosuite,116.66,6,6,6
AOIS_7,,x,x,,evosuite,8.05,1,1,1
AOIS_8,,x,x,,evosuite,8.07,1,1,1
AOIS_9,,x,x,,evosuite,8.1,1,1,1
AOIS_10,,x,x,,evosuite,7.98,1,1,1
AOIS_11,,x,x,,evosuite,7.9,1,1,3
AOIS_12,,x,x,,evosuite,8.48,1,1,2
AOIS_13,,x,x,,evosuite,8.41,1,1,2
AOIS_14,,x,x,,evosuite,8.23,1,1,17
AOIS_15,,x,x,,evosuite,8.1,1,1,1
AOIS_16,,x,x,,evosuite,7.95,1,1,1
AOIS_17,,x,x,,evosuite,8.19,1,1,33
AOIS_18,,x,x,,evosuite,8.06,1,1,11
AOIS_19,,x,x,,evosuite,8.37,1,1,9
AOIS_20,,x,x,,evosuite,8.76,1,1,2
AOIS_21,,x,x,,evosuite,8.82,1,1,32
AOIS_22,,x,x,,evosuite,8.69,1,1,1
AOIS_23,,x,,,evosuite,112.34,6,6,29
AOIS_24,,x,x,,evosuite,15.98,1,1,1
AOIS_25,,x,x,,evosuite,15.03,1,1,4
AOIS_26,,x,x,,evosuite,10.51,1,1,3
AOIS_27,,x,x,,evosuite,13.69,1,1,2
AOIS_28,,x,x,,evosuite,11.22,1,1,2
AOIS_29,,x,x,,evosuite,9.13,0,0,0
AOIS_30,,x,,,evosuite,115.11,4,4,30
AOIS_31,,x,,,evosuite,174.25,5,5,101
AOIS_32,,x,x,,evosuite,10.62,1,1,1
AOIS_33,,x,,,evosuite,115.13,4,4,27
AOIS_34,,x,x,,evosuite,30.57,1,1,15
AOIS_35,,x,x,,evosuite,9.84,1,1,1
AOIS_36,,x,x,,evosuite,10.51,1,1,12
AOIS_37,,x,x,,evosuite,9.9,1,1,1
AOIS_38,,x,x,,evosuite,9.42,1,1,3
AOIS_39,,x,x,,evosuite,9.59,1,1,1
AOIS_40,,x,x,,evosuite,8.6,1,1,11
AOIS_41,,x,,,evosuite,169.98,1,1,1
AOIS_42,,x,,,evosuite,166.06,1,1,1
AOIS_43,,x,x,,evosuite,71.57,1,1,5
AOIS_44,,x,x,,evosuite,10.31,1,1,1
AOIS_45,,x,x,,evosuite,9.55,1,1,1
AOIS_46,,x,,,evosuite,113.22,1,1,1
AOIS_47,,x,,,evosuite,168.72,1,1,2
AOIS_48,,x,,,evosuite,169.49,1,1,2
AOIS_49,,x,x,,evosuite,9.08,1,1,4
AOIS_50,,x,,,evosuite,114.66,2,2,15
AOIS_51,,x,x,,evosuite,52.29,1,1,18
AOIS_52,,x,x,,evosuite,8.18,1,1,14
AOIS_53,,x,x,,evosuite,7.93,1,1,6
AOIS_54,,x,x,,evosuite,9.68,1,1,7
AOIS_55,,x,x,,evosuite,9.6,1,1,2
AOIS_56,,x,,,evosuite,135.36,2,2,18
AOIS_57,,x,x,,evosuite,9.25,1,1,10
AOIS_58,,x,x,,evosuite,9.36,1,1,1
AOIS_59,,x,x,,evosuite,8.45,1,1,2
AOIS_60,,x,x,,evosuite,8.85,1,1,11
AOIS_61,,x,x,,evosuite,8.94,1,1,32
AOIS_62,,x,x,,evosuite,14.47,1,1,19
AOIS_63,,x,x,,evosuite,10.47,1,1,4
AOIS_64,,x,x,,evosuite,11.58,1,1,1
AOIS_65,,x,x,,evosuite,10.95,1,1,4
AOIS_66,,x,x,,evosuite,10.92,1,1,2
AOIS_67,,x,x,,evosuite,8.81,0,0,0
AOIS_68,,x,x,,evosuite,9.17,1,1,2
AOIS_69,,x,x,,evosuite,8.75,1,1,1
AOIS_70,,x,x,,evosuite,8.08,1,1,1
AOIS_71,,x,x,,evosuite,13.29,1,1,1
AOIS_72,,x,x,,evosuite,10.32,1,1,1
AOIS_73,,x,x,,evosuite,9.62,2,1,3
AOIS_74,,x,x,,evosuite,9.89,1,1,2
AOIS_75,,x,,,evosuite,169.04,1,1,1
AOIS_76,,x,,,evosuite,167.48,1,1,1
AOIS_77,,x,x,,evosuite,10.93,1,1,1
AOIS_78,,x,x,,evosuite,8.9,1,1,1
AOIS_79,,x,x,,evosuite,8.73,1,1,1
AOIS_80,,x,x,,evosuite,9.47,1,1,1
AOIS_81,,x,,,evosuite,238.98,2,2,2
AOIS_82,,x,,,evosuite,159.12,1,1,1
AOIS_83,,x,,,evosuite,156.4,2,2,2
AOIS_84,,x,,,evosuite,159.6,1,1,1
AOIS_85,,x,x,,evosuite,8.83,1,1,1
AOIS_86,,x,x,,evosuite,8.49,1,1,1
AOIS_87,,x,,,evosuite,165.47,2,2,2
AOIS_88,,x,x,,evosuite,55.75,0,0,0
AOIS_89,,x,,,evosuite,160.4,6,6,6
AOIS_90,,x,,,evosuite,160.44,8,8,8
ROR_1,,x,x,,evosuite,7.33,1,1,1
ROR_2,,x,x,,evosuite,8.16,1,1,1
ROR_3,,x,x,,evosuite,8.45,1,1,1
ROR_4,,x,x,,evosuite,9.06,1,1,1
ROR_5,,x,x,,evosuite,7.56,1,1,1
ROR_6,,x,x,,evosuite,7.5,1,1,1
ROR_7,,x,x,,evosuite,8.87,1,1,1
ROR_10,,x,x,,evosuite,8.84,1,1,8
ROR_11,,x,x,,evosuite,8.58,1,1,1
ROR_12,,x,x,,evosuite,14.32,1,1,2
ROR_13,,x,x,,evosuite,22.39,1,1,2
ROR_14,,x,x,,evosuite,8.88,1,1,1
ROR_15,,x,x,,evosuite,7.6,1,1,16
ROR_16,,x,x,,evosuite,9.58,1,1,2
ROR_17,,x,,,evosuite,172.65,3,3,24
ROR_18,,x,x,,evosuite,8.3,1,1,1
ROR_19,,x,x,,evosuite,8.54,1,1,11
ROR_20,,x,x,,evosuite,8.14,1,1,1
ROR_21,,x,x,,evosuite,8.45,1,1,8
ROR_22,,x,x,,evosuite,8.27,1,1,17
ROR_23,,x,x,,evosuite,12.29,1,1,1
ROR_24,,x,,,evosuite,173.46,3,3,5
ROR_25,,x,x,,evosuite,8.34,1,1,1
ROR_26,,x,x,,evosuite,7.99,1,1,1
ROR_27,,x,x,,evosuite,9.04,1,1,2
ROR_28,,x,x,,evosuite,7.99,1,1,1
ROR_29,,x,x,,evosuite,7.0,1,1,1
ROR_30,,x,x,,evosuite,8.63,1,1,1
COI_1,,x,x,,evosuite,8.88,1,1,1
COI_2,,x,x,,evosuite,9.06,0,0,0
COI_3,,x,x,,evosuite,7.69,1,1,1
COI_4,,x,x,,evosuite,7.13,1,1,1
COI_5,,x,x,,evosuite,8.81,1,1,1
COI_6,,x,x,,evosuite,7.81,1,1,1
COI_7,,x,x,,evosuite,8.64,1,1,7
COI_8,,x,x,,evosuite,8.2,1,1,1
LOI_2,,x,x,,evosuite,7.26,1,1,1
LOI_3,,x,x,,evosuite,7.95,1,1,1
LOI_4,,x,x,,evosuite,9.18,1,1,2
LOI_5,,x,x,,evosuite,8.53,1,1,1
LOI_6,,x,x,,evosuite,7.95,1,1,1
LOI_7,,x,x,,evosuite,7.54,1,1,5
LOI_9,,x,,,evosuite,113.45,6,6,36
LOI_10,,x,,,evosuite,134.15,6,6,39
LOI_11,,x,x,,evosuite,8.91,1,1,1
LOI_12,,x,x,,evosuite,7.87,1,1,1
LOI_13,,x,x,,evosuite,9.97,1,1,1
LOI_14,,x,x,,evosuite,8.7,1,1,1
LOI_15,,x,x,,evosuite,8.25,1,1,7
LOI_16,,x,x,,evosuite,8.48,1,1,2
LOI_17,,x,x,,evosuite,8.58,1,1,12
LOI_18,,x,x,,evosuite,8.37,1,1,1
LOI_19,,x,x,,evosuite,8.63,1,1,6
LOI_20,,x,x,,evosuite,8.07,1,1,2
LOI_21,,x,x,,evosuite,8.95,1,1,7
LOI_22,,x,x,,evosuite,7.8,1,1,1
LOI_23,,x,x,,evosuite,8.45,1,1,1
LOI_24,,x,x,,evosuite,9.39,1,1,7
LOI_25,,x,x,,evosuite,9.04,1,1,1
LOI_26,,x,x,,evosuite,7.72,1,1,1
LOI_27,,x,x,,evosuite,9.01,1,1,1
LOI_28,,x,x,,evosuite,7.91,1,1,1
ASRS_1,,x,,,evosuite,106.9,2,2,20
ASRS_2,,x,,,evosuite,121.36,2,2,173
ASRS_3,,x,x,,evosuite,8.76,1,1,8
ASRS_4,,x,,,evosuite,204.84,4,4,121
